complaint_id,date_received,district_occurrence,general_cap_classification,summary
17-0211,2017-05-04,2400,LACK OF SERVICE,"According to the complainant, on 4-25-17 at 1:30am, they did not receive proper service from an officer assigned to the 25th District."
17-0212,2017-04-27,2200,CRIMINAL ALLEGATION,"According to the complainant, on 4-26-17 at approximately 4:30pm, an unidentified officer took money from them. The incident occurred in the confines of the 22nd District."
17-0213,2017-05-04,1900,VERBAL ABUSE,"According to the complainant, on 4-6-17, they were verbally abused by officers assigned to the 19th District."
17-0214,2017-05-04,0100,DEPARTMENTAL VIOLATIONS,"According to the complaint, on 4-17-17 at 11:30am, they were harassed and physically abused by officers assigned to the 1st District."
17-0215,2017-05-04,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-6-17, proper procedures were not followed by officers assigned to the 19th District."
17-0216,2017-05-04,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, their vehicle was confiscated and proper police procedures were not followed by a detective assigned to Major Crimes."
17-0217,2017-05-04,0600,VERBAL ABUSE,"According to the complainant, on 4-27-17, they called 911 and were verbally abused by an unknown dispatcher."
17-0218,2017-05-04,0500,LACK OF SERVICE,"According to the complainant, on 4-12-17 at 11:57am, they did not receive proper service from officers assigned to the 5th District."
17-0219,2017-05-04,0300,LACK OF SERVICE,"According to the complainant, on 4-11-17 at 8:00pm, proper service was not provided by officers assigned to the 3rd District."
17-0220,2017-05-04,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-21-17 at 8:30pm, their vehicle was damaged by officers assigned to the 25th District."
17-0221,2017-05-03,0900,HARASSMENT,"According to the complainant, on 4-27-17 at 9:45am, they were harassed by officers assigned to the 12th District."
17-0222,2017-05-04,2200,LACK OF SERVICE,"According to the complainant, on 4-8-17 at 6:42pm, their family members did not receive proper service from unknown 911 call takers and officers assigned to the 22nd District."
17-0223,2017-05-16,3500,PHYSICAL ABUSE,"According to the complaint, on 5-2-17 at 12:42pm, they were improperly stopped and threatened by an officer assigned to the 35th District."
17-0224,2017-05-10,2400,LACK OF SERVICE,"According to the complainant, on 3-18-17 at 10am, they did not receive proper service from officers assigned to the 24th District."
17-0225,2017-05-11,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-3-17 at 4:21pm, their vehicle was damaged by officer assigned to the 12th District."
17-0226,2017-05-16,2200,LACK OF SERVICE,"According to the complainant, on 5-4-17, they did not receive proper service from Sergeants assigned to the 22nd District."
17-0227,2017-05-17,3900,LACK OF SERVICE,"According to the complainant, on 5-5-17 at 10:30pm, they did not receive proper service from a sergeant and lieutenant assigned to the 39th District."
17-0228,2017-05-11,1500,PHYSICAL ABUSE,"According to the complaint, on 5-6-17, at 11:15am, they were physically abused by an unknown officer. This incident occurred in the confines of the 15th District."
17-0229,2017-05-09,2600,LACK OF SERVICE,"According to the complainant, on 5-4-17 at 9:00pm, they did not receive proper service from unidentified police personnel. This incident occurred in the confines of the 26th District."
17-0230,2017-05-11,2600,LACK OF SERVICE,"According to the complainant, since 4-18-17, they have not received proper service from officers and a sergeant assigned to the 26th District."
17-0231,2017-05-12,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-12-17 at 5:50am, their residence was improperly entered and property was damaged by officers assigned to the 39th District."
17-0232,2017-05-11,1900,PHYSICAL ABUSE,"According to the complainant, on 5-6-17 at 11:30am, they were physically abused and harassed by officers assigned to the 19th District."
17-0233,2017-05-12,0500,LACK OF SERVICE,"According to the complainant, on 5-7-17 at 4:30pm, they did not receive proper service from officers assigned to the 5th District."
17-0234,2017-05-11,0800,LACK OF SERVICE,"According to the complainant, on 4-21-17 at 8:00am, they did not receive proper service from an officer assigned to the 8th District and other unidentified officers."
17-0235,2017-06-01,0100,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 6-5-15 at 10:00pm, they were falsely arrested by an officer assigned to the DVIC."
17-0236,2017-05-18,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, they were harassed by an officer assigned to the 35th District."
17-0237,2017-05-17,0700,VERBAL ABUSE,"According to the complainant, on 5-6-17 at approximately 9:30pm, he was threatened by an off-duty officer known to them as ""B""."
17-0238,2017-05-18,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-9-17 at 2:12pm, their property was improperly entered by officers assigned to the 22nd District."
17-0239,2017-05-18,3900,PHYSICAL ABUSE,"According to the complainant, on 5-8-17 at 4:15pm, they were physically abused by officers assigned to the 39th District."
17-0240,2017-05-19,3900,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 4-26-17 at 9:00pm, their person and their vehicle were improperly searched by officers assigned to the 22nd District."
17-0241,2017-05-17,1200,LACK OF SERVICE,"According to the complainant, proper police procedures were not followed by officers assigned to the 12th District and detectives assigned to Homicide."
17-0242,2017-05-19,1400,VERBAL ABUSE,"According to the complainant, on 5-12-17 at 12:56pm, they were verbally abused by an officer assigned to the 14th District."
17-0243,2017-05-22,3500,VERBAL ABUSE,"According to the complaint, on 5-13-17 at 5:54pm, they were verbally abused by an officer assigned to the 35th District."
17-0244,2017-05-16,2400,DOMESTIC,"According to the complainant, on 4-30-17 at 10:43am, they abused their police powers while off-duty. The officer is assigned to the 17th District."
17-0245,2017-05-23,1400,LACK OF SERVICE,"According to the complainant, on 12-19-16 at 11:24pm, they did not receive proper service and were treated unprofessionally by an officer assigned to the 14th District."
17-0246,2017-05-26,0300,LACK OF SERVICE,"According to the complainant, on 5-14-17 at 11:00am, they did not receive proper service from an officer assigned to the 3rd District."
17-0247,2017-05-26,3500,PHYSICAL ABUSE,"According to the complainant, on 5-12-17, a patient was physically abused by an officer assigned to the 14th District."
17-0248,2017-05-22,1800,PHYSICAL ABUSE,"According to the complainant, on 4-26-17, they were physically abused by an officer assigned to the 18th District."
17-0249,2017-05-22,0900,LACK OF SERVICE,"According to the complainant, on 5-11-17 at 3:30pm, they did not receive proper service from an officer assigned to the 9th District."
17-0250,2017-05-23,2600,VERBAL ABUSE,"According to the complainant, on 4-28-17 at 10:18am, they were harassed by a sergeant assigned to the 26th District."
17-0251,2017-05-25,1900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 5-16-17 at 3:00pm, they were falsely arrested by offices assigned to the 19th District."
17-0252,2017-05-24,1700,PHYSICAL ABUSE,"According to the complainant, on 5-17-17 at 9:30pm, they were verbally abused and threatened by an officer assigned to the 17th District."
17-0253,2017-05-26,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-15-17, they were verbally abused and is missing property after being arrested by a sergeant assigned to the 12th District."
17-0254,2017-05-26,2400,PHYSICAL ABUSE,"According to the complainant, on 5-19-17 at 11:20pm, they were physically abused and their property is missing after arrested by officers assigned to the 24th District."
17-0255,2017-05-31,2400,LACK OF SERVICE,"According to the complaint, they did not receive proper service from unknown 24th District officers on two different dates."
17-0256,2017-05-26,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-30-17, they are missing property after their arrest by officers assigned to the 9th District."
17-0257,2017-06-01,1500,LACK OF SERVICE,"According to the complainant, on 5-18-17 at 6pm, they did not receive proper service from and was treated unprofessionally by an officer assigned to the 15th District."
17-0258,2017-05-30,1500,VERBAL ABUSE,"According to the complainant, on 5-22-17 at 12:13pm, they were verbally abused by a detective assigned to Northeast Detective Division."
17-0259,2017-05-30,3500,VERBAL ABUSE,"According to the complainant, on 5-18-17 at 2:30pm, they were verbally abused by an officer assigned to the 35th District."
17-0260,2017-05-31,3500,VERBAL ABUSE,"According to the complainant, on 5-22-17 at 2:45pm, their family member was threatened and verbally abused by an unknown 35th District officer."
17-0261,2017-05-30,1500,PHYSICAL ABUSE,"According to the complainant, on 5-20-17 at 6:00pm, they were physically abused and improperly searched by officers assigned to the 15th District."
17-0262,2017-06-01,2500,VERBAL ABUSE,"According to the complainant, on 5-22-17 at 7:00pm, they were verbally abused, improperly detained and not given proper service by an officer assigned to the 25th District."
17-0263,2017-05-30,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-23-17 at 9:00am, they were physically and verbally abused by officers assigned to the 24th District."
17-0264,2017-06-01,2400,PHYSICAL ABUSE,"According to the complainant, on 5-22-17 at 3:30pm, their family member was physically and verbally abused by an officer assigned to the 24th District."
17-0265,2017-05-30,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-11-17 at 8:07pm, their family member is missing property after their arrest by an officer assigned to the 24th District."
17-0266,2017-05-30,2500,PHYSICAL ABUSE,"According to the complainant, on 5-11-17, their juvenile family member was physically abused by an off duty officer assigned to the 25th District. The incident occurred in the confines of the 22nd District."
17-0267,2017-05-31,1800,DEPARTMENTAL VIOLATIONS,"According to the complainants, since 2013, they are being harassed and verbally abused by officers from the 18th District."
17-0268,2017-05-31,2200,LACK OF SERVICE,"According to the complainant, on 4-23-17 at 11:30am, they did not receive proper service from officers assigned to the 22nd District."
17-0269,2017-05-31,2200,PHYSICAL ABUSE,"According to the complainant, on 5-25-17 at 9:10pm, they were physically abused by officers assigned to the 22nd District."
17-0270,2017-06-12,2400,LACK OF SERVICE,"According to the complainant, they did not receive proper service from officers assigned to the 24th District."
17-0271,2017-06-19,1200,LACK OF SERVICE,"According to the complainant, on 5-20-13 at 5pm, they were falsely arrested by officers assigned to the 12th District. The complainant also claimed that a proper investigation was not conducted by detectives assigned to Southwest Detective Division."
17-0272,2017-06-02,1200,DOMESTIC,"According to the complainant, they were physically abused by a off-duty civilian employee assigned to Radio. This incident occurred in the confines of the 12th District."
17-0273,2017-06-06,2500,PHYSICAL ABUSE,"According to the complaint, on 5-26-17, they were physically abused by officers assigned to the 35th District."
17-0274,2017-06-06,0200,HARASSMENT,"According to the complainant, an off-duty police officer is violating several city ordinances and the motor vehicle code. This incident occurred in the confines of the 2nd District."
17-0275,2017-06-21,1500,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-17-17 at 4:21pm, they were falsely arrested by officers assigned to the 15th District."
17-0276,2017-06-06,1500,LACK OF SERVICE,"According to the complainant, on 5-29-17 at 1:45pm, they did not receive proper service from an unknown member of Northeast Detective Division."
17-0277,2017-06-06,1500,LACK OF SERVICE,"According to the complainant, on 5-30-17 at 10:55pm, they were treated unprofessionally by civilian 911 call takers assigned to the Radio Room."
17-0278,2017-06-08,2500,HARASSMENT,"According to the complainant, on 5-3-17 at 6:20am, they were being harassed by a sergeant assigned to the 24th District."
17-0279,2017-06-08,1500,HARASSMENT,"According to the complainant, on 11-27-16, at 8:30pm, they were harassed by unidentified 15th District officers."
17-0280,2017-06-12,1900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-04-17 at 9:30pm, they were treated unprofessionally by an officer assigned to the 19th District."
17-0281,2017-06-12,2500,LACK OF SERVICE,"According to the complainant, on 2-26-17 at 10:00am, they did not receive proper service from a detective assigned to East Detective Division."
17-0282,2017-06-12,1700,PHYSICAL ABUSE,"According to the complainant, on 5-28-17 at 2:15pm, they were physically and verbally abused by officers assigned to the 17th District."
17-0283,2017-06-12,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-31-17 at 8:15am, a School Crossing Guard, assigned to the 35th District, did not provide their family member with proper service and violated departmental policy."
17-0284,2017-06-12,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-27-17 at 3:35pm, they did not receive proper service from an officer assigned to the 14th District."
17-0285,2017-06-12,0800,LACK OF SERVICE,"According to the complainant, on 5-28-17 at 6:57am, they did not receive proper service from civilians and a supervisor assigned to the Radio Room."
17-0286,2017-06-12,1600,PHYSICAL ABUSE,"According to the complainant, on 5-30-17 at 7:30pm, they were improperly searched, threatened and treated unprofessionally by a sergeant and officers assigned to the 16th District."
17-0287,2017-06-12,0600,PHYSICAL ABUSE,"According to the complainant, on 6-4-17 at 1:00pm, they were physically abused by an officer assigned to the Center City District."
17-0288,2017-06-12,1900,PHYSICAL ABUSE,"According to the complainant, on 5-31-17 at 6:00pm, they witnessed unknown 19th District officers physically abuse an unknown person."
17-0289,2017-06-12,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-27-17 at 5:25pm, they were harassed by an off-duty sergeant assigned to the 12th District. This incident occurred in the confines of the 3rd District."
17-0290,2017-06-13,3900,VERBAL ABUSE,"According to the complainant, on 6-1-17 at 6:00pm, proper police procedures were not followed by an officer assigned to the 39th District."
17-0291,2017-06-13,2200,LACK OF SERVICE,"According to the complainant, on 3-16-17, they did not receive proper service from officers assigned to the 22nd District."
17-0292,2017-06-13,2500,VERBAL ABUSE,"According to the complainant, on 5-20-17 at 7:13pm, they were verbally abused by an officers assigned to Highway Patrol. This incident occurred in the confines of the 25th District."
17-0293,2017-06-14,2400,PHYSICAL ABUSE,"According to the complainant, in November 2016, they were verbally and physically abused by officers assigned to the 24th District."
17-0294,2017-06-14,1400,PHYSICAL ABUSE,"According to the complainant, on 6-1-17 at 7:05pm, they were assaulted, harassed and threatened by an officer assigned to the 14th District."
17-0295,2017-06-14,2500,PHYSICAL ABUSE,"According to the complaint, on 6-6-17 at 10:10pm, they were physically and verbally abused by unidentified officers. This incident occurred in the confines of the 25th District."
17-0296,2017-06-20,0800,DOMESTIC,"According to the complainant, an officer assigned to the Safety Office, is abusing their authority as a police officer. This incident occurred in the confines of the 8th District."
17-0297,2017-06-14,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-6-17 at 11:00am, their vehicle was improperly searched by an officer assigned to Highway Patrol. This incident occurred in the confines of the 39th District."
17-0298,2017-06-15,2500,HARASSMENT,"According to the complainant, on 5-30-17 at 1:00pm, they were harassed by an officer assigned to the 25th District."
17-0299,2017-06-14,3500,PHYSICAL ABUSE,"According to the complainant, on 6-6-17 at 2:00am, they were physically abused by an officer assigned to the 35th District."
17-0300,2017-06-14,0200,LACK OF SERVICE,"According to the complainant, on 4-13-17 at 7:30pm, they did not receive proper service from an officer assigned to the 2nd District."
17-0301,2017-06-14,1700,CRIMINAL ALLEGATION,"According to the complainant, an off-duty officer is violating departmental policies. The officer is assigned to the Center City District. This incident occurred in the confines of the 17th District."
17-0302,2017-06-14,3900,HARASSMENT,"According to the complaint, on 5-31-17, 6-1-17 and 6-3-17, they were harassed by an officer assigned to the 39th District."
17-0303,2017-06-22,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-7-17 at 10:30am, an officer assigned to the 18th District, violated departmental policy and may be abusing their authority as a police officer."
17-0304,2017-06-29,1900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-3-16 at 9:00am, they did not receive proper service from unknown 19th District officers."
17-0305,2017-06-15,0900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-8-17 at 2:20pm, they were treated unprofessionally by an officer assigned to the District Attorney's Office."
17-0306,2017-06-21,1800,LACK OF SERVICE,"According to the complainant, on 6-10-17 at 9:37pm, they did not receive proper service and were treated unprofessionally by a sergeant and officers assigned to the 18th District."
17-0307,2017-06-19,2500,HARASSMENT,"According to the complainant, on 5-30-17 at 5:00pm, they were harassed and departmental policies are not being followed by an officer assigned to the 25th District."
17-0308,2017-06-21,3500,LACK OF SERVICE,"According to the complainant, on 6-2-17 at 1:05pm, they did not receive proper service from an officer assigned to the 35th District."
17-0309,2017-06-22,2500,VERBAL ABUSE,"According to the complainant, on 6-11-17 at 6pm, they were verbally abused and did not receive proper service from unknown 25th District officers."
17-0310,2017-06-21,0200,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-5-17 at 8:30pm,they were treated unprofessionally by an officer assigned to the 2nd District."
17-0311,2017-06-16,N/A,CRIMINAL ALLEGATION,"According to the complainant, on 5-18-17 at 6:30pm, an officer, assigned to the 2nd District, is engaged in conduct unbecoming an officer."
17-0312,2017-06-21,1900,CIVIL RIGHTS COMPLAINT,"According to the complaint, on 6-12-17 at 10:00pm, they did not receive proper service, because of their race, by officers assigned to the 19th District."
17-0313,2017-06-21,1500,DOMESTIC,"According to the complainant, on 6-13-17 at 10:45pm, they were harassed by an officer assigned to the 15th District."
17-0314,2017-06-22,1400,PHYSICAL ABUSE,"According to the complainant, on 6-10-17, they were physically abused and harassed by officers assigned to the 14th District."
17-0315,2017-06-28,1500,LACK OF SERVICE,"According to the complainant, on 5-4-17 at 4:05pm, they did not receive proper service from a detective assigned to Northeast Detective Division."
17-0316,2017-06-28,2600,LACK OF SERVICE,"According to the complainant, on 5-28-17 at 5:40pm, they did not receive proper service from officers assigned to the 26th District."
17-0317,2017-06-26,2400,LACK OF SERVICE,"According to the complainant, on 11-10-16, a false police report was prepared by an officer assigned to the 24th District."
17-0318,2017-06-26,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, during the week of 6-5-17, a School Crossing Guard assigned to the 16th District, is conducting themselves unprofessionally and may be violating departmental policy."
17-0319,2017-06-26,1200,HARASSMENT,"According to the complainant, on 6-10-17 at 4:00pm, they were harassed by an officer assigned to the 12th District."
17-0320,2017-06-26,2500,LACK OF SERVICE,"According to the complaint, on 5-25-17 at 6:30am, they did not receive proper service from officers assigned to the 25th District."
17-0321,2017-06-26,1800,DEPARTMENTAL VIOLATIONS,"According to the complaint, on 6-16-17 at approximately 3:10am, their vehicle was improperly searched by officers assigned to the 19th District."
17-0322,2017-06-26,1900,LACK OF SERVICE,"According to the complainant, on 6-15-17 at approximately 5:46pm, proper procedures were not followed by officers assigned to the 19th District."
17-0323,2017-06-26,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-17-17 at 7:00pm, they were improperly stopped and their vehicle was confiscated by officers assigned to Highway Patrol. This incident occurred in the confines of the 19th District."
17-0324,2017-06-29,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-19-17 at 1:40pm, their vehicle was improperly searched and damaged by officers assigned to the 16th District."
17-0325,2017-06-26,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-19-17 at 12:50pm, their family members vehicle was improperly searched and damaged by officers assigned to the 16th District."
17-0326,2017-06-27,3900,LACK OF SERVICE,"According to the complainant, on 5-28-17, they were not provided proper service and treated unprofessionally by sergeants assigned to the 39th District."
17-0362,2017-07-13,0200,PHYSICAL ABUSE,"According to the complainant, on 7-8-17 at 2:30pm, they were physically abused by officers assigned to the 2nd District."
17-0327,2017-06-27,0900,CRIMINAL ALLEGATION,"According to the complainant, on 6-16-17, they were threatened and harassed by an off-duty detective assigned to Northwest Detective Division. This incident occurred in the confines of the 9th District."
17-0328,2017-06-27,0500,DEPARTMENTAL VIOLATIONS,"According to the complainant, they were threatened and harassed on two different occasions by a sergeant and officers assigned to the 5th District."
17-0329,2017-06-27,1700,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-20-17 at 12:15pm, they are missing property after being improperly stopped by officers assigned to Narcotics Strike Force. This incident occurred in the confines of the 17th District."
17-0330,2017-06-28,0300,PHYSICAL ABUSE,"According to the complainant, on 6-3-17 at 4:30pm, they juvenile family member was physically abused by an officer assigned to the 3rd District."
17-0331,2017-06-22,0200,DRUGS,"According to the complainant, in April of 2017, departmental policies were violated by two unidentified 2nd District officers."
17-0332,2017-06-29,3500,PHYSICAL ABUSE,"According to the complainant, on 6-20-17 at 11:00pm, they were physically abused by an officer assigned to the 35th District, and did not receive proper service from other unidentified 35th District officers."
17-0333,2017-06-29,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-1-17 at 3:40pm, they were falsely arrested by an officer assigned to the 19th District."
17-0334,2017-06-29,1400,CRIMINAL ALLEGATION,"According to the complainant, on 10-12-16 at 6pm, they were falsely arrested and their property was taken by officers assigned to the 14th District."
17-0335,2017-07-10,0300,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 6-11-17, they were improperly issued a parking citation by an officer assigned to the 3rd District."
17-0336,2017-06-29,1500,UNPROFESSIONAL CONDUCT,"According to the complainants, on 6-23-17 at 9:18pm, they were treated unprofessionally and did not receive proper service from an officer assigned to the Safety Office. This incident occurred in the confines of the 15th District."
17-0337,2017-06-29,3900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-25-17 at 6:30pm, they were treated unprofessionally and did not receive proper service by officers and a sergeant assigned to the 14th District."
17-0338,2017-06-30,0600,LACK OF SERVICE,"According to the complainant, on 6-26-17 at 7:15pm, they did not receive proper service from an sergeant and officer assigned to the 6th District."
17-0339,2017-07-03,0200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-24-17, they did not receive proper service from a officer assigned to Neighborhood Services Unit. This incident occurred in the confines of the 2nd District."
17-0340,2017-06-30,3500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 5-27-17 at approximately 9:30am, they were treated unprofessionally by a 35th District officer."
17-0341,2017-07-03,1400,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 6-6-17 at 10:35am, they were verbally abused and racially profiled by officers assigned to the 14th District."
17-0342,2017-06-30,1500,VERBAL ABUSE,"According to the complainant, on 6-24-17, they did not receive proper service from an unidentified 15th District officer and a detective assigned to Northeast Detective Division."
17-0343,2017-07-03,3900,VERBAL ABUSE,"According to the complainant, on 6-22-17 at 11:30am, their juvenile family member was verbally abused by an officer assigned to the 39th District."
17-0344,2017-07-11,2200,LACK OF SERVICE,"According to the complainant, on 6-16-17, at 1:00am, an accident report was inaccurately completed by an officer assigned to the 22nd District."
17-0345,2017-06-29,3900,LACK OF SERVICE,"According to the complainant, on 6-23-17, they did not receive proper service from officers assigned to the 39th District."
17-0346,2017-07-03,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-12-17 at 5:45pm, their vehicle was improperly searched by officers assigned to the 35th District."
17-0347,2017-07-05,1500,PHYSICAL ABUSE,"According to the complainant, on 6-28-17 at 3:10pm, they were treated unprofessionally by an officer assigned to the 15th District."
17-0348,2017-07-05,2600,LACK OF SERVICE,"According to the complainant, on 1-24-17 at 5:30pm, they did not receive proper service from an officer assigned to the 26th District."
17-0349,2017-07-18,1500,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-29-07, they were arrested by unknown officers and did not return their property after their arrest. This incident occurred in the confines of the 15th District."
17-0350,2017-07-10,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-13-17 at 9:00am, proper procedure was not followed by unknown officers. This incident occurred in the confines of the 18th District."
17-0351,2017-07-10,0200,DEPARTMENTAL VIOLATIONS,"According to the complainant, an off-duty officer assigned to the 12th District is abusing their authority. The complainant also stated they did not receive proper service from a radio dispatcher assigned to the Radio Room."
17-0352,2017-07-12,2400,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 3-22-15 at 2:40am, an unknown person tampered with evidence associated with their arrest. This incident occurred in the confines of the 25th District."
17-0353,2017-07-10,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-30-17 at 9:50pm, they were improperly stopped and their passengers were verbally abused by an officer assigned to 14th District."
17-0354,2017-07-07,1200,LACK OF SERVICE,"According to the complainant, on 4-22-17 at 10:30pm, they did not receive proper service from officers assigned to the 12th District."
17-0355,2017-07-12,0800,PHYSICAL ABUSE,"According to the complainant, on 6-16-17 at 7:30pm, their residence was improperly entered by officers assigned to the 8th District."
17-0356,2017-07-12,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-5-17 at 8:53pm, their property was improperly entered by officers assigned to the 25th District."
17-0357,2017-07-19,3500,PHYSICAL ABUSE,"According to the complainant, on 3-13-13 at 11:36pm, they were physically abused by officers assigned to the 35th District."
17-0358,2017-07-12,0800,LACK OF SERVICE,"According to the complainant, on 1-03-17 at 8:50pm, a proper police report was not prepared by an officer assigned to the 8th District."
17-0359,2017-07-26,1400,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 7-21-15 at 6pm, they were falsely arrested at their residence by an officers assigned to the Narcotics Field Unit. This incident occurred in the confines of the 14th District."
17-0360,2017-07-12,2500,LACK OF SERVICE,"According to the complainant, they did not receive proper service from an officer assigned to the Special Victims Unit. This incident occurred in the confines of the 14th District."
17-0361,2017-07-17,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-2-17 at 2:00pm, they were improperly searched by officers assigned to the 35th District."
17-0363,2017-07-13,0300,LACK OF SERVICE,"According to the complainant, on 6-11-17 at 8:45pm, they did not receive proper service from an officer assigned to the 3rd District."
17-0364,2017-07-19,3500,PHYSICAL ABUSE,"According to the complainant, on 7-9-17 at 10:30pm, they were physically abused by unknown officers. This incident occurred in the confines of the 35th District."
17-0365,2017-07-17,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, they did not receive proper service from an unknown 18th District officer."
17-0366,2017-07-19,1600,LACK OF SERVICE,"According to the complainant, on 7-2-17 at 4:30pm, they did not receive proper service from officers assigned to the 16th District."
17-0367,2017-07-20,1900,CRIMINAL ALLEGATION,"According to the complainant, on 7-7-17, they were threatened and harassed by a Police Communications Dispatcher, while off-duty. This incident occurred in the confines of the 19th District."
17-0368,2017-07-26,1900,CRIMINAL ALLEGATION,"According to the complainant, on 7-7-17, at 10am, they were threatened and harassed by an off-duty Police Communications Dispatcher on two occasions. This incident occurred in the confines of the 19th District."
17-0369,2017-07-19,0600,UNPROFESSIONAL CONDUCT,"According to the complainant, they were verbally abused by an unknown 911 call taker that did not follow proper police procedures."
17-0370,2017-07-20,1600,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 5-11-17 at 11:48pm, they were improperly stopped and verbally abused by an officer assigned to Traffic District."
17-0371,2017-07-24,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-18-15, they were falsely arrested by officers assigned to the 25th District."
17-0372,2017-07-24,1800,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 3-12-17 at 5:00am, they were improperly issued a traffic citation by officers assigned to the 18th District."
17-0373,2017-07-20,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-12-17 at 11:19am, they were falsely detained by officers assigned to the 6th District."
17-0374,2017-07-27,0900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-20-17, they were harassed and falsely arrested by a officer assigned to External Services Unit. This incident occurred in the confines of the 39th District."
17-0375,2017-07-20,2400,VERBAL ABUSE,"According to the complainant, on 7-17-17 at 10:35pm, they were verbally abused by a supervisor assigned to the 24th District."
17-0376,2017-07-20,1400,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 6-27-17, their juvenile family member was threatened and harassed, because of their race, by an officer assigned to the 14th District."
17-0377,2017-07-20,0800,LACK OF SERVICE,"According to the complainant, on 4-15-17 at 4:45pm, they did not receive proper service from a supervisor and officer assigned to the 8th District."
17-0378,2017-07-24,3500,LACK OF SERVICE,"According to the complainant, on 7-16-17 at 1:00pm, they did not receive proper service from unknown 35th District officers."
17-0379,2017-07-24,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-19-17 at 8:20pm, unidentified Philadelphia Police officers are misusing departmental computer systems. This incident occurred in the confines of the 2nd District."
17-0380,2017-07-24,1500,HARASSMENT,"According to the complainant, on 7-19-17 at 11:30am, they were harassed by a detective assigned to Major Crimes. The incident occurred in the confines of the 15th District."
17-0381,2017-07-24,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-21-17 at 9:30am, proper police procedures were not followed and they are missing property. The officer is assigned to the 12th District."
17-0382,2017-07-24,1400,LACK OF SERVICE,"According to the complainant, on 7-19-17 at 6:30pm, they did not receive proper service from officers assigned to the 14th District."
17-0383,2017-07-27,2500,VERBAL ABUSE,"According to the complainant, on 7-9-17 at 11:50pm, they did not receive proper service from an officer assigned to the 25th District."
17-0384,2017-07-31,1200,PHYSICAL ABUSE,"According to the complainant, on 7-20-17 at 10:00pm, they were physically and verbally abused by officers assigned to the 12th District."
17-0385,2017-07-27,1700,UNPROFESSIONAL CONDUCT,"According to the complaint, on 7-21-17 at 1:30pm, they were treated unprofessionally by a officer assigned to the 17th District."
